ESTAR: Stopping Powers and Range Tables for Electrons

material pouzdra (Density=0.76260905 g/cm3) (I=128.9 eV)

Kinetic   	Collision	Radiative	Total    	D. Effect	
Energy    	Stp. Pow.	Stp. Pow.	Stp. Pow.	Parameter	
MeV       	MeV cm2/g	MeV cm2/g	MeV cm2/g	         	

 1.000E+03	2.188E+00	3.373E+01	3.592E+01	1.020E+01	
 1.500E+03	2.220E+00	5.092E+01	5.314E+01	1.101E+01	
 2.000E+03	2.242E+00	6.814E+01	7.038E+01	1.158E+01	
 2.500E+03	2.259E+00	8.537E+01	8.763E+01	1.203E+01	
 3.000E+03	2.273E+00	1.026E+02	1.049E+02	1.240E+01	
 3.500E+03	2.285E+00	1.199E+02	1.221E+02	1.270E+01	
 4.000E+03	2.295E+00	1.371E+02	1.394E+02	1.297E+01	
 4.500E+03	2.304E+00	1.544E+02	1.567E+02	1.321E+01	
 5.000E+03	2.312E+00	1.716E+02	1.739E+02	1.342E+01	
 6.000E+03	2.326E+00	2.061E+02	2.085E+02	1.378E+01	
 7.000E+03	2.338E+00	2.407E+02	2.430E+02	1.409E+01	
 8.000E+03	2.348E+00	2.752E+02	2.775E+02	1.436E+01	
 9.000E+03	2.357E+00	3.097E+02	3.121E+02	1.459E+01	
 1.000E+04	2.365E+00	3.443E+02	3.467E+02	1.480E+01	
