ESTAR: Stopping Powers and Range Tables for Electrons

material pouzdra (Density=0.76260905 g/cm3) (I=128.9 eV)

Kinetic   	Collision	Radiative	Total    	CSDA     	Radiation	D. Effect	
Energy    	Stp. Pow.	Stp. Pow.	Stp. Pow.	Range    	Yield    	Parameter	
MeV       	MeV cm2/g	MeV cm2/g	MeV cm2/g	g/cm2    	         	         	

 5.500E+01	1.953E+00	1.619E+00	3.572E+00	2.200E+01	2.644E-01	4.573E+00	
 6.000E+01	1.961E+00	1.780E+00	3.741E+00	2.337E+01	2.811E-01	4.729E+00	
 7.000E+01	1.975E+00	2.104E+00	4.079E+00	2.593E+01	3.118E-01	5.010E+00	
 8.000E+01	1.987E+00	2.430E+00	4.416E+00	2.829E+01	3.395E-01	5.256E+00	
 9.000E+01	1.997E+00	2.757E+00	4.754E+00	3.047E+01	3.646E-01	5.475E+00	
 1.000E+02	2.006E+00	3.086E+00	5.092E+00	3.250E+01	3.875E-01	5.673E+00	
 1.250E+02	2.025E+00	3.913E+00	5.938E+00	3.704E+01	4.367E-01	6.097E+00	
 1.500E+02	2.040E+00	4.745E+00	6.785E+00	4.098E+01	4.773E-01	6.447E+00	
 1.750E+02	2.052E+00	5.582E+00	7.634E+00	4.445E+01	5.114E-01	6.746E+00	
 2.000E+02	2.063E+00	6.421E+00	8.484E+00	4.756E+01	5.405E-01	7.006E+00	
 2.500E+02	2.081E+00	8.107E+00	1.019E+01	5.293E+01	5.879E-01	7.444E+00	
 3.000E+02	2.095E+00	9.799E+00	1.189E+01	5.746E+01	6.250E-01	7.804E+00	
 3.500E+02	2.107E+00	1.150E+01	1.360E+01	6.139E+01	6.550E-01	8.109E+00	
 4.000E+02	2.118E+00	1.320E+01	1.531E+01	6.485E+01	6.798E-01	8.374E+00	
 4.500E+02	2.127E+00	1.490E+01	1.703E+01	6.795E+01	7.008E-01	8.608E+00	
 5.000E+02	2.135E+00	1.661E+01	1.874E+01	7.075E+01	7.188E-01	8.817E+00	
 5.500E+02	2.142E+00	1.831E+01	2.046E+01	7.330E+01	7.344E-01	9.007E+00	
 6.000E+02	2.149E+00	2.002E+01	2.217E+01	7.565E+01	7.482E-01	9.180E+00	
 7.000E+02	2.161E+00	2.345E+01	2.561E+01	7.984E+01	7.712E-01	9.488E+00	
 8.000E+02	2.171E+00	2.687E+01	2.904E+01	8.350E+01	7.899E-01	9.754E+00	
 9.000E+02	2.180E+00	3.030E+01	3.248E+01	8.676E+01	8.054E-01	9.989E+00	
 1.000E+03	2.188E+00	3.373E+01	3.592E+01	8.968E+01	8.185E-01	1.020E+01	
