

Delka drahy [m], E_kin [MeV], S [MeV/cm]
0, 5.49, 0.0
0.01, -820.2633692395405, 825.7533692395403
35645602374750754
0.002, 7.6889287086728295, 0.0003564572479557331
0.003, 7.688893062825611, 0.0003564584721775874
0.004, 7.688857416855969, 0.0003564596964129987
0.005, 7.688821770763903, 0.0003564609206620251
0.006, 7.68878612454941, 0.00035646214492465213
0.007, 7.68875047821249, 0.0003564633692009085
0.008, 7.688714831753141, 0.0003564645934907373
0.009000000000000001, 7.688679185171361, 0.00035646581779416755
0.010000000000000002, 7.688643538467151, 0.0003564670421111777
0.011000000000000003, 7.6886078916405065, 0.0003564682664418183
0.012000000000000004, 7.688572244691429, 0.00035646949078606776
0.013000000000000005, 7.688536597619914, 0.00035647071514391225
0.014000000000000005, 7.688500950425962, 0.00035647193951533757
0.015000000000000006, 7.688465303109572, 0.0003564731639003942
0.016000000000000007, 7.688429655670743, 0.000356474388299032
0.017000000000000008, 7.688394008109472, 0.0003564756127113012
0.01800000000000001, 7.688358360425758, 0.00035647683713714513
0.01900000000000001, 7.6883227126196, 0.0003564780615765853
0.02000000000000001, 7.688287064690998, 0.0003564792860296719
0.02100000000000001, 7.6882514166399485, 0.0003564805104963337
0.022000000000000013, 7.688215768466451, 0.0003564817349765924
0.023000000000000013, 7.688180120170504, 0.00035648295947047684
0.024000000000000014, 7.688144471752106, 0.0003564841839779512
0.025000000000000015, 7.688108823211256, 0.00035648540849903725
0.026000000000000016, 7.688073174547952, 0.00035648663303372124
0.027000000000000017, 7.688037525762195, 0.00035648785758202444
0.028000000000000018, 7.68800187685398, 0.00035648908214392554
0.02900000000000002, 7.687966227823309, 0.0003564903067194395
0.03000000000000002, 7.687930578670178, 0.0003564915313085376
0.03100000000000002, 7.687894929394587, 0.000356492755911256
0.03200000000000002, 7.687859279996534, 0.0003564939805275946
0.03300000000000002, 7.687823630476019, 0.000356495205157511
0.03400000000000002, 7.687787980833038, 0.00035649642980106267
0.035000000000000024, 7.687752331067593, 0.00035649765445821364
0.036000000000000025, 7.68771668117968, 0.0003564988791289573
0.037000000000000026, 7.687681031169298, 0.0003565001038133367
0.03800000000000003, 7.687645381036448, 0.0003565013285112949
0.03900000000000003, 7.6876097307811255, 0.0003565025532228892
0.04000000000000003, 7.68757408040333, 0.00035650377794806977
0.04100000000000003, 7.687538429903061, 0.0003565050026868512
0.04200000000000003, 7.687502779280317, 0.00035650622743927654
0.04300000000000003, 7.687467128535097, 0.00035650745220528173
0.04400000000000003, 7.687431477667399, 0.0003565086769849312
0.04500000000000003, 7.687395826677221, 0.00035650990177816795
0.046000000000000034, 7.687360175564562, 0.00035651112658499954
0.047000000000000035, 7.687324524329422, 0.0003565123514054761
