Energy(MeV)	#/nt
0,0818	1,52E-01
0,2453	1,63E-01
0,4088	1,57E-01
0,5723	1,39E-01
0,7358	1,13E-01
0,8993	8,46E-02
1,0628	5,85E-02
1,2263	3,75E-02
1,3898	2,31E-02
1,5533	1,64E-02
1,7168	1,33E-02
1,8803	1,12E-02
2,0438	9,47E-03
2,2073	7,72E-03
2,3708	5,95E-03
2,5343	4,28E-03
2,6978	2,78E-03
2,8613	1,53E-03
3,0248	6,04E-04
3,1883	9,05E-05
