x[cm]  Ekin[MeV]  S[MeV/cm]
0.1  0.6377909372023106  0.0020906279768942385
0.2  0.6375818648254229  0.002090723768877295
0.30000000000000004  0.6373727828596135  0.002090819658093458
0.4  0.6371636912951553  0.002090915644582995
0.5  0.6369545901223167  0.0020910117283861997
0.6  0.6367454793313624  0.0020911079095433894
0.7  0.6365363589125529  0.002091204188094909
0.7999999999999999  0.6363272288561448  0.00209130056408113
0.8999999999999999  0.6361180891523905  0.002091397037542448
0.9999999999999999  0.6359089397915386  0.0020914936085192873
1.0999999999999999  0.6356997807638334  0.0020915902770520965
1.2  0.6354906120595153  0.0020916870431813522
1.3  0.6352814336688205  0.0020917839069475555
1.4000000000000001  0.6350722455819814  0.002091880868391234
1.5000000000000002  0.6348630477892261  0.0020919779275529425
1.6000000000000003  0.6346538402807788  0.002092075084473262
1.7000000000000004  0.6344446230468594  0.002092172339192799
1.8000000000000005  0.6342353960776842  0.002092269691752187
1.9000000000000006  0.634026159363465  0.0020923671421920857
2.0000000000000004  0.6338169128944097  0.002092464690553182
2.1000000000000005  0.633607656660722  0.002092562336876187
2.2000000000000006  0.6333983906526018  0.002092660081201842
2.3000000000000007  0.6331891148602448  0.00209275792357091
2.400000000000001  0.6329798292738423  0.002092855864024185
2.500000000000001  0.6327705338835821  0.0020929539026024843
2.600000000000001  0.6325612286796474  0.0020930520393466533
2.700000000000001  0.6323519136522177  0.002093150274297564
2.800000000000001  0.632142588791468  0.0020932486074961144
2.9000000000000012  0.6319332540875697  0.00209334703898323
3.0000000000000013  0.6317239095306898  0.002093445568799862
3.1000000000000014  0.6315145551109911  0.0020935441969869885
3.2000000000000015  0.6313051908186326  0.0020936429235856144
3.3000000000000016  0.6310958166437689  0.002093741748636772
3.4000000000000017  0.6308864325765507  0.0020938406721815184
3.5000000000000018  0.6306770386071247  0.0020939396942609404
3.600000000000002  0.630467634725633  0.0020940388149161488
3.700000000000002  0.6302582209222142  0.002094138034188283
3.800000000000002  0.6300487971870024  0.002094237352118509
3.900000000000002  0.6298393635101276  0.0020943367687480175
4.000000000000002  0.6296299198817158  0.00209443628411803
4.100000000000001  0.6294204662918889  0.0020945358982697917
4.200000000000001  0.6292110027307644  0.0020946356112445763
4.300000000000001  0.629001529188456  0.002094735423083684
4.4  0.6287920456550732  0.002094835333828441
4.5  0.6285825521207211  0.002094935343520203
4.6  0.6283730485755011  0.002095035452200351
4.699999999999999  0.62816353500951  0.002095135659910292
4.799999999999999  0.6279540114128409  0.0020952359666914625
4.899999999999999  0.6277444777755824  0.002095336372585325
4.999999999999998  0.627534934087819  0.002095436877633369
5.099999999999998  0.6273253803396313  0.0020955374818771113
5.1999999999999975  0.6271158165210955  0.002095638185358096
5.299999999999997  0.6269062426222837  0.002095738988117894
5.399999999999997  0.6266966586332638  0.002095839890198105
5.4999999999999964  0.6264870645440999  0.002095940891640352
5.599999999999996  0.6262774603448512  0.0020960419924862896
5.699999999999996  0.6260678460255734  0.0020961431927775994
5.799999999999995  0.6258582215763178  0.002096244492555987
5.899999999999995  0.6256485869871314  0.002096345891863188
5.999999999999995  0.6254389422480573  0.002096447390740965
6.099999999999994  0.6252292873491342  0.0020965489892311078
6.199999999999994  0.6250196222803966  0.002096650687375433
6.299999999999994  0.6248099470318751  0.002096752485215786
6.399999999999993  0.6246002615935957  0.002096854382794038
6.499999999999993  0.6243905659555805  0.00209695638015209
6.5999999999999925  0.6241808601078473  0.0020970584773318678
6.699999999999992  0.6239711440404098  0.002097160674375327
6.799999999999992  0.6237614177432773  0.0020972629713244496
6.8999999999999915  0.6235516812064552  0.0020973653682212455
6.999999999999991  0.6233419344199445  0.0020974678651077524
7.099999999999991  0.6231321773737418  0.0020975704620260355
7.19999999999999  0.62292241005784  0.002097673159018187
7.29999999999999  0.6227126324622274  0.002097775956126329
7.39999999999999  0.6225028445768882  0.0020978788533926084
7.499999999999989  0.6222930463918023  0.0020979818508592013
7.599999999999989  0.6220832378969454  0.0020980849485683125
7.699999999999989  0.6218734190822892  0.0020981881465621725
7.799999999999988  0.6216635899378009  0.0020982914448830423
7.899999999999988  0.6214537504534436  0.0020983948435732078
7.999999999999988  0.6212439006191761  0.002098498342674985
8.099999999999987  0.621034040424953  0.002098601942230717
8.199999999999987  0.6208241698607248  0.0020987056422827745
8.299999999999986  0.6206142889164374  0.002098809442873557
8.399999999999986  0.6204043975820329  0.002098913344045491
8.499999999999986  0.6201944958474488  0.002099017345841032
8.599999999999985  0.6199845837026186  0.0020991214483026617
8.699999999999985  0.6197746611374713  0.002099225651472893
8.799999999999985  0.6195647281419319  0.0020993299553942646
8.899999999999984  0.619354784705921  0.0020994343601093437
8.999999999999984  0.6191448308193549  0.0020995388656607256
9.099999999999984  0.6189348664721458  0.0020996434720910334
9.199999999999983  0.6187248916542015  0.0020997481794429195
9.299999999999983  0.6185149063554256  0.0020998529877590635
9.399999999999983  0.6183049105657173  0.0020999578970821746
9.499999999999982  0.6180949042749718  0.002100062907454988
9.599999999999982  0.6178848874730798  0.0021001680189202693
9.699999999999982  0.6176748601499277  0.002100273231520811
9.799999999999981  0.6174648222953977  0.002100378545299435
9.89999999999998  0.6172547738993678  0.002100483960298991
9.99999999999998  0.6170447149517115  0.0021005894765623568
10.09999999999998  0.6168346454422983  0.0021006950941324398
10.19999999999998  0.6166245653609931  0.002100800813052174
10.29999999999998  0.6164144746976566  0.002100906633364524
10.399999999999979  0.6162043734421454  0.0021010125551124805
10.499999999999979  0.6159942615843115  0.0021011185783390653
